model	sample_id	word	step	letter	board_before	candidates_before	wrong_before	invalid	repeat	dominated_miss	hit	hit_prob	best_hit_prob	hit_prob_regret	optimal_letter	is_optimal
openai/gpt-5-nano	crypt	crypt	2	o	.....	1355	2	0	0	0	0	0.4539	0.5705	0.1166	s	0
openai/gpt-5-nano	crypt	crypt	3	i	.....	740	3	0	0	0	0	0.5743	0.5824	0.0081	s	0
openai/gpt-5-nano	crypt	crypt	4	y	.....	315	4	0	0	0	1	0.3143	0.9397	0.6254	u	0
openai/gpt-5-nano	crypt	crypt	5	c	..y..	4	4	0	0	0	1	0.5000	0.7500	0.2500	p	0
openai/gpt-5-nano	crypt	crypt	6	r	c.y..	1	4	0	0	0	1	1.0000	1.0000	0.0000	p	1
openai/gpt-5-nano	crypt	crypt	7	t	cry..	1	4	0	0	0	1	1.0000	1.0000	0.0000	p	1
openai/gpt-5-nano	crypt	crypt	8	p	cry.t	1	4	0	0	0	1	1.0000	1.0000	0.0000	p	1
openai/gpt-5-nano	diamond	diamond	0	e	.......	9571	0	0	0	0	0	0.6890	0.6890	0.0000	e	1
openai/gpt-5-nano	diamond	diamond	1	a	.......	2977	1	0	0	0	1	0.5371	0.6439	0.1068	i	0
openai/gpt-5-nano	diamond	diamond	2	n	..a....	202	1	0	0	0	1	0.6188	0.7228	0.1040	i	0
openai/gpt-5-nano	diamond	diamond	3	t	..a..n.	90	1	0	0	0	0	0.2111	0.9556	0.7444	g	0
openai/gpt-5-nano	diamond	diamond	4	o	..a..n.	71	2	0	0	0	1	0.2676	0.9437	0.6761	g	0
openai/gpt-5-nano	diamond	diamond	5	s	..a.on.	5	2	0	0	0	0	0.8000	0.8000	0.0000	s	1
openai/gpt-5-nano	diamond	diamond	6	i	..a.on.	1	3	0	0	0	1	1.0000	1.0000	0.0000	d	1
openai/gpt-5-nano	diamond	diamond	7	d	.ia.on.	1	3	0	0	0	1	1.0000	1.0000	0.0000	d	1
openai/gpt-5-nano	diamond	diamond	8	m	dia.ond	1	3	0	0	0	1	1.0000	1.0000	0.0000	m	1
openai/gpt-5-nano	duplex	duplex	0	e	......	7028	0	0	0	0	1	0.6477	0.6477	0.0000	e	1
openai/gpt-5-nano	duplex	duplex	1	t	....e.	2005	0	0	0	0	0	0.2449	0.4963	0.2514	d	0
openai/gpt-5-nano	duplex	duplex	2	a	....e.	1514	1	0	0	0	0	0.3818	0.5390	0.1572	d	0
openai/gpt-5-nano	duplex	duplex	3	o	....e.	936	2	0	0	0	0	0.4209	0.5342	0.1132	d	0
openai/gpt-5-nano	duplex	duplex	4	i	....e.	542	3	0	0	0	0	0.5830	0.5830	0.0000	i	1
openai/gpt-5-nano	duplex	duplex	5	l	....e.	226	4	0	0	0	1	0.2699	0.9558	0.6858	u	0
openai/gpt-5-nano	duplex	duplex	6	u	...le.	15	4	0	0	0	1	0.8000	0.8000	0.0000	u	1
openai/gpt-5-nano	duplex	duplex	7	d	.u.le.	11	4	0	0	0	1	0.5455	0.7273	0.1818	r	0
openai/gpt-5-nano	duplex	duplex	8	p	du.le.	1	4	0	0	0	1	1.0000	1.0000	0.0000	p	1
openai/gpt-5-nano	duplex	duplex	9	x	duple.	1	4	0	0	0	1	1.0000	1.0000	0.0000	x	1
openai/gpt-5-nano	dwarfs	dwarfs	0	e	......	7028	0	0	0	0	0	0.6477	0.6477	0.0000	e	1
openai/gpt-5-nano	dwarfs	dwarfs	1	a	......	2476	1	0	0	0	1	0.4859	0.5230	0.0372	s	0
openai/gpt-5-nano	dwarfs	dwarfs	2	o	..a...	209	1	0	0	0	0	0.1148	0.7751	0.6603	s	0
openai/gpt-5-nano	dwarfs	dwarfs	3	n	..a...	185	2	0	0	0	0	0.3568	0.8000	0.4432	s	0
openai/gpt-5-nano	dwarfs	dwarfs	4	t	..a...	119	3	0	0	0	0	0.3445	0.8151	0.4706	s	0
openai/gpt-5-nano	dwarfs	dwarfs	5	i	..a...	78	4	0	0	0	0	0.1667	0.8333	0.6667	s	0
openai/gpt-5-nano	dwarfs	dwarfs	6	u	..a...	65	5	0	0	0	0	0.1077	0.8462	0.7385	s	0
openai/gpt-5-nano	dwarfs	dwarfs	7	y	..a...	58	6	0	0	0	0	0.3276	0.8448	0.5172	s	0
openai/gpt-5-nano	dwarfs	dwarfs	8	s	..a...	39	7	0	0	0	1	1.0000	1.0000	0.0000	s	1
openai/gpt-5-nano	dwarfs	dwarfs	9	r	..a..s	17	7	0	0	0	1	0.5294	0.7647	0.2353	c	0
openai/gpt-5-nano	dwarfs	dwarfs	10	h	..ar.s	2	7	0	0	0	0	0.5000	0.5000	0.0000	c	1
openai/gpt-5-nano	dwarfs	dwarfs	11	d	..ar.s	1	8	0	0	0	1	1.0000	1.0000	0.0000	d	1
openai/gpt-5-nano	dwarfs	dwarfs	12	w	d.ar.s	1	8	0	0	0	1	1.0000	1.0000	0.0000	f	1
openai/gpt-5-nano	dwarfs	dwarfs	13	f	dwar.s	1	8	0	0	0	1	1.0000	1.0000	0.0000	f	1
openai/gpt-5-nano	earth	earth	0	e	.....	4431	0	0	0	0	1	0.4715	0.4906	0.0192	s	0
openai/gpt-5-nano	earth	earth	1	a	e....	46	0	0	0	0	1	0.2609	0.4130	0.1522	t	0
openai/gpt-5-nano	earth	earth	2	g	ea...	4	0	0	0	1	0	0.0000	1.0000	1.0000	r	0
openai/gpt-5-nano	earth	earth	3	s	ea...	4	1	0	0	0	0	0.5000	1.0000	0.5000	r	0
openai/gpt-5-nano	earth	earth	4	r	ea...	2	2	0	0	0	1	1.0000	1.0000	0.0000	r	1
openai/gpt-5-nano	earth	earth	5	t	ear..	2	2	0	0	0	1	0.5000	0.5000	0.0000	h	1
openai/gpt-5-nano	earth	earth	6	h	eart.	1	2	0	0	0	1	1.0000	1.0000	0.0000	h	1
openai/gpt-5-nano	elephant	elephant	0	e	........	10078	0	0	0	0	1	0.6958	0.6958	0.0000	e	1
openai/gpt-5-nano	elephant	elephant	1	l	e.e.....	30	0	0	0	0	1	0.4667	0.6667	0.2000	t	0
openai/gpt-5-nano	elephant	elephant	2	t	ele.....	8	0	0	0	0	1	0.8750	0.8750	0.0000	t	1
openai/gpt-5-nano	elephant	elephant	3	p	ele....t	1	0	0	0	0	1	1.0000	1.0000	0.0000	a	1
openai/gpt-5-nano	elephant	elephant	4	h	elep...t	1	0	0	0	0	1	1.0000	1.0000	0.0000	a	1
openai/gpt-5-nano	elephant	elephant	5	a	eleph..t	1	0	0	0	0	1	1.0000	1.0000	0.0000	a	1
openai/gpt-5-nano	elephant	elephant	6	n	elepha.t	1	0	0	0	0	1	1.0000	1.0000	0.0000	n	1
openai/gpt-5-nano	espionage	espionage	0	e	.........	8995	0	0	0	0	1	0.7360	0.7360	0.0000	e	1
openai/gpt-5-nano	espionage	espionage	1	a	e.......e	41	0	0	0	0	1	0.7805	0.7805	0.0000	a	1
openai/gpt-5-nano	espionage	espionage	2	i	e.....a.e	12	0	0	0	0	1	0.6667	0.8333	0.1667	t	0
openai/gpt-5-nano	espionage	espionage	3	n	e..i..a.e	2	0	0	0	0	1	0.5000	1.0000	0.5000	p	0
openai/gpt-5-nano	espionage	espionage	4	t	e..i.na.e	1	0	0	0	1	0	0.0000	1.0000	1.0000	g	0
openai/gpt-5-nano	espionage	espionage	5	o	e..i.na.e	1	1	0	0	0	1	1.0000	1.0000	0.0000	g	1
openai/gpt-5-nano	espionage	espionage	6	s	e..iona.e	1	1	0	0	0	1	1.0000	1.0000	0.0000	g	1
openai/gpt-5-nano	espionage	espionage	7	p	es.iona.e	1	1	0	0	0	1	1.0000	1.0000	0.0000	g	1
openai/gpt-5-nano	espionage	espionage	8	g	espiona.e	1	1	0	0	0	1	1.0000	1.0000	0.0000	g	1
openai/gpt-5-nano	fishing	fishing	0	e	.......	9571	0	0	0	0	0	0.6890	0.6890	0.0000	e	1
openai/gpt-5-nano	fishing	fishing	1	t	.......	2977	1	0	0	0	0	0.3460	0.6439	0.2980	i	0
openai/gpt-5-nano	fishing	fishing	2	a	.......	1947	2	0	0	0	0	0.5357	0.6682	0.1325	i	0
openai/gpt-5-nano	fishing	fishing	3	i	.......	904	3	0	0	0	1	0.7942	0.7942	0.0000	i	1
openai/gpt-5-nano	fishing	fishing	4	n	.i..i..	118	3	0	0	0	1	0.9153	0.9153	0.0000	n	1
openai/gpt-5-nano	fishing	fishing	5	s	.i..in.	65	3	0	0	0	1	0.3077	0.9538	0.6462	g	0
openai/gpt-5-nano	fishing	fishing	6	r	.is.in.	5	3	0	0	0	0	0.2000	1.0000	0.8000	g	0
openai/gpt-5-nano	fishing	fishing	7	l	.is.in.	4	4	0	0	0	0	0.2500	1.0000	0.7500	g	0
openai/gpt-5-nano	fishing	fishing	8	d	.is.in.	3	5	0	0	0	0	0.3333	1.0000	0.6667	g	0
openai/gpt-5-nano	fishing	fishing	9	c	.is.in.	2	6	0	0	1	0	0.0000	1.0000	1.0000	g	0
openai/gpt-5-nano	fishing	fishing	10	o	.is.in.	2	7	0	0	1	0	0.0000	1.0000	1.0000	g	0
openai/gpt-5-nano	fishing	fishing	11	u	.is.in.	2	8	0	0	1	0	0.0000	1.0000	1.0000	g	0
openai/gpt-5-nano	fishing	fishing	12	f	.is.in.	2	9	0	0	0	1	0.5000	1.0000	0.5000	g	0
openai/gpt-5-nano	fishing	fishing	13	h	fis.in.	1	9	0	0	0	1	1.0000	1.0000	0.0000	g	1
openai/gpt-5-nano	fishing	fishing	14	g	fishin.	1	9	0	0	0	1	1.0000	1.0000	0.0000	g	1
openai/gpt-5-nano	flopping	flopping	0	e	........	10078	0	0	0	0	0	0.6958	0.6958	0.0000	e	1
openai/gpt-5-nano	flopping	flopping	1	a	........	3066	1	0	0	0	0	0.5750	0.7120	0.1370	i	0
openai/gpt-5-nano	flopping	flopping	2	o	........	1303	2	0	0	0	1	0.5817	0.8143	0.2325	i	0
openai/gpt-5-nano	flopping	flopping	3	i	..o.....	127	2	0	0	0	1	0.9055	0.9055	0.0000	i	1
openai/gpt-5-nano	flopping	flopping	4	n	..o..i..	99	2	0	0	0	1	0.8788	0.8788	0.0000	g	1
openai/gpt-5-nano	flopping	flopping	5	t	..o..in.	70	2	0	0	0	0	0.3571	1.0000	0.6429	g	0
openai/gpt-5-nano	flopping	flopping	6	s	..o..in.	45	3	0	0	0	0	0.4000	1.0000	0.6000	g	0
openai/gpt-5-nano	flopping	flopping	7	r	..o..in.	27	4	0	0	0	0	0.3704	1.0000	0.6296	g	0
openai/gpt-5-nano	flopping	flopping	8	l	..o..in.	17	5	0	0	0	1	0.7647	1.0000	0.2353	g	0
openai/gpt-5-nano	flopping	flopping	9	g	.lo..in.	13	5	0	0	0	1	1.0000	1.0000	0.0000	g	1
openai/gpt-5-nano	flopping	flopping	10	c	.lo..ing	10	5	0	0	0	0	0.6000	0.6000	0.0000	c	1
openai/gpt-5-nano	flopping	flopping	11	p	.lo..ing	4	6	0	0	0	1	0.7500	0.7500	0.0000	p	1
openai/gpt-5-nano	flopping	flopping	12	f	.lopping	1	6	0	0	0	1	1.0000	1.0000	0.0000	f	1
openai/gpt-5-nano	forest	forest	0	e	......	7028	0	0	0	0	1	0.6477	0.6477	0.0000	e	1
openai/gpt-5-nano	forest	forest	1	a	...e..	445	0	0	0	0	0	0.3528	0.7213	0.3685	s	0
openai/gpt-5-nano	forest	forest	2	t	...e..	288	1	0	0	0	1	0.3958	0.7569	0.3611	s	0
openai/gpt-5-nano	forest	forest	3	o	...e.t	64	1	0	0	0	1	0.2656	0.7031	0.4375	s	0
